,Unnamed: 0,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,minimum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,place,south
84766,2897,118498832,2017-02-28,"Freiburg im Breisgau, Baden-Württemberg, Germany",within an hour,92%,95%,f,92.0,"['email', 'phone', 'manual_online', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'identity_manual']",t,t,29,29,0,0,1,1.0,7.0,7.0,6.4,28,28.0,27.6,t,13,13,32,117,2,0,0,2019-08-10,2020-08-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07,Trentino,0
5381,588,7190648,2013-06-30,"Florence, Tuscany, Italy",within an hour,100%,100%,f,9.0,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,9,1,8,0,1,1.0,2.0,1125.0,1.0,365,1125.0,1125.0,t,5,22,47,312,44,1,0,2013-08-09,2021-08-15,4.47,4.64,4.86,4.83,4.76,4.05,4.41,0.43,Toscana,0
43153,20404,12351036,2014-02-18,"Palermo, Sicily, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'jumio', 'government_id']",t,t,2,2,0,0,2,2.0,2.0,1125.0,2.0,30,1125.0,1125.0,t,6,11,33,302,231,36,1,2018-04-29,2021-12-08,4.86,4.95,4.97,4.97,4.98,4.78,4.86,5.17,Sicily,0
94564,1295,7577185,2013-07-18,"Southampton, England, United Kingdom",within a day,75%,100%,f,4.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,2,2,0,0,7,7.0,7.0,1125.0,7.0,1125,1125.0,1125.0,t,0,0,0,0,13,0,0,2015-06-01,2019-09-15,4.77,4.77,5.0,4.92,4.85,4.69,5.0,0.16,Rome,0
78092,24603,27306404,2015-02-06,"Carmiano, Puglia, Italy",within a day,100%,29%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,3,3,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,29,59,89,364,1,0,0,2020-08-10,2020-08-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,Puglia,0
28921,3132,16868247,2014-06-16,Italia ,within an hour,100%,100%,t,4.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id']",t,t,4,4,0,0,3,3.0,7.0,1125.0,4.0,28,1125.0,1125.0,t,14,44,74,154,7,3,1,2018-05-14,2021-12-12,4.71,4.71,4.86,4.86,4.86,4.57,4.57,0.16,Sicily,0
10736,6464,152140176,2017-09-26,"Clinton, Iowa, United States",within a few hours,100%,100%,t,10.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,8,8,0,0,2,2.0,2.0,1125.0,2.0,600,1125.0,1125.0,t,21,21,21,230,43,9,1,2019-03-22,2021-11-27,4.79,4.81,4.79,4.74,4.88,5.0,4.81,1.29,Toscana,0
113839,980,73327451,2016-05-22,"Napoli, Campania, Italy",within an hour,100%,100%,t,11.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'government_id']",t,t,8,2,3,3,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,12,40,64,319,213,48,6,2016-07-10,2021-12-04,4.82,4.83,4.71,4.87,4.92,4.89,4.82,3.22,Naples,0
102446,10198,3214336,2012-08-10,"Rome, Lazio, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,11,41,71,142,21,6,1,2018-03-25,2021-11-14,4.8,4.85,4.7,4.9,4.9,4.9,4.7,0.46,Rome,0
67057,9100,129358601,2017-05-08,"Altamura, Apulia, Italy",within an hour,100%,100%,f,2.0,"['phone', 'reviews']",t,f,2,0,2,0,1,1.0,1.0,60.0,1.0,60,60.0,60.0,t,0,0,0,0,6,0,0,2017-06-19,2017-08-27,5.0,5.0,5.0,5.0,5.0,4.83,5.0,0.11,Puglia,0
16757,4046,65956032,2016-04-05,"Milan, Lombardy, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,26,56,86,176,35,6,2,2017-01-04,2021-12-08,4.38,4.65,4.65,4.7,4.74,4.79,4.27,0.58,Milan,0
81515,31220,99156644,2016-10-11,"Corato, Apulia, Italy",a few days or more,0%,33%,f,1.0,"['email', 'phone', 'facebook']",t,f,1,1,0,0,7,7.0,7.0,1125.0,7.0,1125,1125.0,1125.0,t,30,60,90,365,1,1,0,2021-09-30,2021-09-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,Puglia,0
39190,15370,37356808,2015-07-02,"Catania, Sicily, Italy",within an hour,100%,100%,t,3.0,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,3,3,0,0,2,1.0,2.0,1125.0,1.2,1125,1125.0,1125.0,t,22,52,82,82,249,20,0,2017-07-14,2021-11-18,4.88,4.92,4.89,4.9,4.94,4.84,4.87,4.58,Sicily,0
111030,21304,348173977,2020-05-31,"Rome, Lazio, Italy",within an hour,85%,88%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,30,1125.0,1125.0,t,8,37,67,139,7,7,4,2021-01-02,2021-12-06,4.57,4.43,4.57,4.29,4.43,4.86,4.71,0.61,Rome,0
79408,27150,13036400,2014-03-11,"Palermo, Sicily, Italy",within an hour,98%,97%,f,749.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,127,125,2,0,1,1.0,3.0,1125.0,2.1,1125,1125.0,1125.0,t,28,58,88,363,1,1,0,2021-08-15,2021-08-15,4.0,3.0,5.0,4.0,4.0,4.0,2.0,0.22,Puglia,0
106783,15196,6519534,2013-05-22,"Rome, Lazio, Italy",within an hour,100%,100%,f,30.0,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,25,25,0,0,1,2.0,3.0,1125.0,2.3,1125,1125.0,1125.0,t,0,0,9,284,1,0,0,2019-05-18,2019-05-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,Rome,0
14311,1186,18784362,2014-07-24,"Naples, Campania, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,f,0,0,0,0,34,0,0,2015-02-16,2018-01-01,4.27,4.69,4.73,4.35,4.44,4.09,4.38,0.41,Milan,0
108209,16958,271997554,2019-06-28,"Rome, Lazio, Italy",within an hour,90%,91%,t,7.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,4,1,0,0,1,1.0,1.0,30.0,1.0,30,30.0,30.0,t,17,45,75,335,6,1,0,2019-09-21,2021-11-04,4.67,5.0,4.83,4.83,5.0,5.0,4.83,0.22,Rome,0
71784,15056,206459027,2018-07-31,IT,within an hour,100%,100%,f,1.0,['phone'],f,f,1,1,0,0,7,7.0,7.0,28.0,7.0,28,28.0,28.0,t,30,60,90,365,9,6,0,2018-09-11,2021-09-04,4.56,4.33,4.44,4.67,4.67,4.56,4.44,0.22,Puglia,0
95897,2792,21723920,2014-09-24,"Rome, Lazio, Italy",within an hour,100%,100%,t,6.0,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,2,2.0,3.0,1125.0,2.0,28,1125.0,1125.0,t,22,42,64,215,61,3,1,2015-01-26,2021-11-27,4.8,4.92,4.8,4.97,4.95,4.57,4.72,0.73,Rome,0
110810,20927,712288,2011-06-17,"Rome, Lazio, Italy",within an hour,100%,100%,f,9.0,"['email', 'phone', 'reviews']",t,t,13,13,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,7,7,7,163,8,7,2,2020-11-28,2021-11-21,4.75,4.88,4.63,4.75,4.88,4.88,4.75,0.64,Rome,0
2208,439,47819458,2015-10-31,IT,within an hour,100%,100%,f,5.0,"['email', 'phone']",t,t,8,8,0,0,1,1.0,2.0,1125.0,1.7,1125,1125.0,1125.0,t,8,27,54,200,48,34,7,2018-12-17,2021-12-10,4.66,4.77,4.81,4.79,4.94,4.96,4.7,1.31,Bologna,0
43949,21394,191346548,2018-05-24,"Alcamo, Sicily, Italy",within an hour,100%,100%,f,2.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,4,4.0,4.0,1125.0,4.0,30,1125.0,1125.0,t,0,0,0,263,6,0,0,2018-06-28,2020-12-16,4.83,4.83,4.83,4.83,4.83,4.83,4.67,0.14,Sicily,0
16640,3890,64046633,2016-03-22,"Milan, Lombardy, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,5,5.0,5.0,90.0,5.0,90,90.0,90.0,t,0,0,0,106,20,0,0,2016-04-15,2018-11-15,4.65,4.8,4.65,5.0,5.0,4.0,4.55,0.29,Milan,0
51047,31242,276612943,2019-07-16,IT,within an hour,100%,100%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,7,7.0,7.0,1125.0,7.0,100,1125.0,1125.0,t,23,53,83,346,3,0,0,2019-09-30,2020-10-23,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.11,Sicily,0
30840,5380,31087748,2015-04-12,"Castelbuono, Sicily, Italy",within an hour,100%,100%,f,14.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,13,13,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,22,52,82,348,21,1,0,2016-02-23,2021-07-22,4.9,4.9,5.0,5.0,4.95,5.0,4.86,0.29,Sicily,0
113503,607,12231646,2014-02-14,"Giugliano in Campania, Campania, Italy",within an hour,100%,94%,f,4.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,5.0,15.0,2.1,20,20.0,19.9,t,19,49,79,354,40,13,0,2015-08-21,2021-11-01,4.45,4.6,4.48,4.75,4.88,4.78,4.5,0.52,Naples,0
16941,4302,74747232,2016-05-30,"Milan, Lombardy, Italy",within an hour,100%,100%,t,3.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,3,3,0,0,2,2.0,6.0,1125.0,2.8,60,1125.0,1125.0,t,15,43,59,295,260,1,0,2016-06-26,2020-12-24,4.93,4.96,4.97,4.96,4.96,4.97,4.81,3.9,Milan,0
4316,2764,97803982,2016-10-03,"Bologna, Emilia-Romagna, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id']",t,t,1,1,0,0,2,2.0,3.0,1125.0,2.1,1125,1125.0,1125.0,t,17,47,77,257,8,8,1,2021-07-07,2021-11-22,4.75,5.0,5.0,5.0,5.0,5.0,4.75,1.46,Bologna,0
17758,5233,24472986,2014-12-04,"Milan, Lombardy, Italy",a few days or more,0%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,0,1,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,28,58,88,88,1,0,0,2017-04-11,2017-04-11,5.0,4.0,5.0,5.0,5.0,5.0,3.0,0.02,Milan,0
110285,20096,184352369,2018-04-15,IT,within an hour,100%,100%,f,7.0,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,7,1,6,0,2,2.0,2.0,1125.0,2.0,31,1125.0,1125.0,t,29,59,89,360,14,8,0,2020-07-05,2021-09-03,4.64,4.93,4.64,4.93,4.5,4.79,4.79,0.8,Rome,0
6231,1483,16862804,2014-06-16,"Florence, Tuscany, Italy",within an hour,100%,100%,t,5.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,5,5,0,0,1,1.0,1.0,1125.0,1.0,29,1125.0,1125.0,t,11,40,66,341,481,54,6,2015-04-04,2021-12-14,4.88,4.91,4.93,4.94,4.95,4.96,4.85,5.89,Toscana,0
92743,6438,17534457,2014-07-02,"London, England, United Kingdom",within an hour,100%,99%,f,28.0,"['email', 'phone', 'reviews', 'jumio']",t,t,28,26,2,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,20,50,80,355,2,2,0,2021-10-11,2021-11-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.68,Venice,0
64037,5406,67376391,2016-04-15,"Polignano A Mare, Puglia, Italy",within an hour,100%,100%,t,6.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,4,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,26,56,86,356,153,16,0,2016-07-24,2021-10-19,4.88,4.92,4.98,4.95,4.95,4.95,4.91,2.31,Puglia,0
33488,8519,49414195,2015-11-19,"Lipari, Sicily, Italy",within an hour,100%,100%,t,16.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,17,17,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,213,37,5,0,2017-06-09,2021-07-15,4.86,4.81,4.78,5.0,4.92,4.92,4.78,0.67,Sicily,0
