,Unnamed: 0,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,minimum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,place,south
93895,591,2358492,2012-05-13,"Rome, Lazio, Italy",a few days or more,0%,67%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,2,2.0,2.0,100.0,2.0,100,100.0,100.0,t,0,0,0,82,200,0,0,2012-10-16,2019-09-08,4.58,4.65,4.72,4.64,4.71,4.88,4.65,1.8,Rome,0
36882,12609,5322091,2013-03-04,"Cefalù, Sicilia, Italy",within an hour,100%,99%,f,84.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,40,40,0,0,3,3.0,4.0,1125.0,3.1,1125,1125.0,1125.0,t,0,0,0,173,1,0,0,2017-05-08,2017-05-08,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.02,Sicily,0
103121,10991,23295549,2014-11-03,"Rome, Lazio, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,1,1,0,0,2,2.0,2.0,35.0,2.0,35,35.0,35.0,t,0,0,0,0,30,0,0,2018-01-19,2018-07-27,5.0,5.0,5.0,4.97,5.0,4.63,4.93,0.63,Rome,0
100566,8086,2079032,2012-04-05,"Rome, Lazio, Italy",within a day,95%,50%,t,12.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,13,7,6,0,2,2.0,2.0,30.0,2.0,30,30.0,30.0,t,2,2,2,2,20,7,2,2016-10-16,2021-11-17,4.85,4.85,4.85,4.9,4.95,4.95,4.9,0.32,Rome,0
113489,589,37068113,2015-06-29,IT,within an hour,100%,100%,f,2.0,"['email', 'phone', 'reviews']",t,f,1,0,1,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,12,42,72,347,92,9,0,2015-08-14,2021-09-21,4.58,4.68,4.61,4.78,4.74,4.43,4.6,1.19,Naples,0
46350,24491,216745426,2018-09-22,"Villaggio Mosè, Sicilia, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone']",t,f,3,0,3,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,29,59,89,364,1,0,0,2019-08-21,2019-08-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,Sicily,0
89675,2827,134077593,2017-06-08,"Venice, Veneto, Italy",within an hour,100%,85%,t,6.0,"['email', 'phone', 'reviews']",t,f,5,5,0,0,2,1.0,2.0,30.0,2.0,30,30.0,30.0,t,20,50,80,350,13,2,0,2017-08-08,2021-11-07,4.92,4.92,5.0,5.0,5.0,4.92,4.77,0.24,Venice,0
59663,134,1842487,2012-03-02,"Lecce, Puglia, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'work_email']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,29,59,89,269,3,2,0,2017-08-20,2021-08-21,4.0,4.0,4.0,5.0,4.67,4.33,3.33,0.06,Puglia,0
60021,540,6224432,2013-05-04,"London, England, United Kingdom",within an hour,100%,75%,f,1.0,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id', 'work_email']",t,f,1,1,0,0,4,4.0,4.0,1125.0,4.0,1125,1125.0,1125.0,t,28,58,88,363,11,2,0,2013-08-17,2021-08-20,4.64,4.82,4.82,5.0,4.91,4.82,4.64,0.11,Puglia,0
93744,434,2100864,2012-04-09,"Rome, Lazio, Italy",within an hour,100%,100%,t,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,3,2.0,5.0,120.0,3.2,180,1125.0,1115.9,t,10,27,47,142,162,10,0,2012-10-31,2021-10-17,4.8,4.75,4.74,4.89,4.92,4.97,4.74,1.46,Rome,0
48797,28055,254273078,2019-04-09,"Catania, Sicily, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,25,1125.0,1125.0,t,26,56,82,350,37,17,1,2019-06-17,2021-12-04,4.92,4.97,4.84,5.0,4.97,4.89,4.89,1.2,Sicily,0
21930,10403,27693585,2015-02-13,"Milan, Lombardy, Italy",within an hour,98%,99%,f,300.0,"['email', 'phone', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,295,295,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,21,51,81,96,2,1,0,2019-06-13,2021-10-22,4.0,5.0,5.0,4.5,4.5,5.0,4.0,0.07,Milan,0
94306,1024,1460757,2011-12-01,"Rome, Lazio, Italy",within an hour,100%,91%,f,14.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,9,9,0,0,3,3.0,5.0,60.0,3.1,60,60.0,60.0,t,8,29,48,238,209,7,1,2013-04-20,2021-12-03,4.66,4.78,4.8,4.66,4.71,4.97,4.65,1.99,Rome,0
81971,32051,371661828,2020-10-12,IT,a few days or more,0%,100%,f,0.0,"['email', 'phone']",t,t,3,1,2,0,1,1.0,1.0,365.0,1.0,365,365.0,365.0,t,30,60,90,365,2,2,0,2021-08-19,2021-09-13,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.45,Puglia,0
74036,18343,260458709,2019-05-07,"Cavallino, Apulia, Italy",within an hour,100%,50%,f,5.0,"['phone', 'offline_government_id', 'selfie', 'government_id']",t,t,5,1,2,0,1,1.0,1.0,29.0,1.0,29,29.0,29.0,t,28,58,88,363,1,0,0,2019-08-21,2019-08-21,4.0,1.0,4.0,5.0,2.0,5.0,3.0,0.03,Puglia,0
27324,1289,7164257,2013-06-28,"Cinisi, Sicilia, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,11,11,11,132,57,4,0,2014-04-30,2021-10-05,4.72,4.64,4.77,5.0,4.98,4.86,4.64,0.61,Sicily,0
87754,834,23366630,2014-11-05,"Venice, Veneto, Italy",within an hour,100%,100%,f,5.0,"['email', 'phone', 'reviews', 'manual_offline', 'offline_government_id', 'government_id']",t,t,5,1,4,0,1,1.0,2.0,2.0,1.0,1125,1125.0,1107.0,t,7,7,7,7,185,32,1,2015-05-16,2021-12-15,4.54,4.61,4.67,4.71,4.79,4.68,4.59,2.29,Venice,0
97629,4762,41822764,2015-08-18,"Rome, Lazio, Italy",within an hour,80%,100%,f,7.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,3,3,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,0,0,0,0,83,0,0,2015-09-18,2019-12-31,4.65,4.73,4.75,4.7,4.66,4.98,4.71,1.09,Rome,0
111168,21539,279349445,2019-07-26,"Rome, Lazio, Italy",within an hour,100%,97%,t,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,7,7,0,0,3,1.0,4.0,1125.0,3.0,59,1125.0,1125.0,t,4,4,4,274,25,25,4,2021-05-16,2021-11-22,4.92,5.0,4.76,4.84,4.92,5.0,4.84,3.61,Rome,0
50653,30686,2765446,2012-06-27,"Avola, Sicily, Italy",within an hour,90%,98%,f,135.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,111,105,6,0,1,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,21,51,81,356,1,0,0,2019-09-11,2019-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04,Sicily,0
11906,7963,135896096,2017-06-19,"Terranuova Bracciolini, Tuscany, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,5.0,1125.0,2.2,1125,1125.0,1125.0,t,24,54,84,174,1,1,0,2021-08-08,2021-08-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.23,Toscana,0
66376,8240,91810304,2016-08-25,"Lecce, Apulia, Italy",within a day,50%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,171,22,3,0,2017-03-07,2021-08-01,4.85,4.89,4.8,5.0,5.0,4.95,4.89,0.37,Puglia,0
72685,16346,63888287,2016-03-21,"Frascati, Lazio, Italy",within an hour,100%,100%,f,4.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,4,4,0,0,7,7.0,7.0,1125.0,7.0,21,1125.0,1125.0,t,0,0,0,99,1,1,0,2021-08-21,2021-08-21,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0.23,Puglia,0
104760,12846,6329647,2013-05-11,"Rome, Lazio, Italy",within an hour,100%,96%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,0,1,0,1,1.0,1.0,7.0,1.0,7,7.0,7.0,t,0,0,30,30,73,16,0,2019-03-18,2021-10-17,4.96,4.96,4.99,5.0,4.99,4.99,4.86,2.19,Rome,0
96188,3119,24399743,2014-12-02,"Rome, Lazio, Italy",within an hour,100%,83%,f,3.0,"['email', 'phone', 'reviews']",t,f,3,0,2,0,1,1.0,1.0,1125.0,1.0,30,1125.0,1125.0,t,25,55,85,360,38,2,0,2015-03-22,2021-08-31,4.24,4.42,4.43,4.42,4.19,4.78,4.47,0.46,Rome,0
82082,32412,421626400,2021-09-04,IT,within an hour,100%,100%,f,0.0,"['email', 'phone']",t,f,1,1,0,0,2,2.0,3.0,4.0,2.0,30,30.0,29.8,t,0,0,29,61,2,2,0,2021-09-14,2021-09-29,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.56,Puglia,0
87585,663,16946379,2014-06-18,"Venice, Veneto, Italy",within an hour,100%,97%,t,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,2,0,2,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,0,0,1,1,18,0,0,2014-07-19,2014-10-05,4.56,4.56,4.56,4.78,4.83,4.89,4.61,0.2,Venice,0
14267,1134,9856642,2013-11-06,"Milan, Lombardy, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,30,1125.0,1125.0,t,7,18,36,167,297,31,3,2014-09-06,2021-12-03,4.88,4.9,4.9,4.96,4.96,4.74,4.8,3.35,Milan,0
16899,4237,53825842,2016-01-08,"Milan, Lombardy, Italy",within a day,100%,0%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,2,0,0,2016-05-29,2016-06-20,4.0,4.5,4.0,5.0,5.0,5.0,4.5,0.03,Milan,0
12287,8595,96122546,2016-09-21,"Milan, Lombardy, Italy",within an hour,99%,100%,f,278.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,92,83,9,0,1,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,25,55,85,273,2,2,0,2021-08-08,2021-10-16,3.0,2.5,2.0,4.0,3.5,4.5,3.0,0.45,Toscana,0
38137,14120,124225908,2017-04-04,"Palermo, Sicily, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,1,1.0,1.0,1125.0,1.0,28,1125.0,1125.0,t,25,55,85,360,65,16,0,2017-08-14,2021-11-15,4.75,4.77,4.89,4.92,4.8,4.63,4.77,1.22,Sicily,0
96047,2956,7253790,2013-07-03,"Rome, Lazio, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']",t,t,2,0,2,0,2,2.0,2.0,1125.0,2.0,28,1125.0,1125.0,t,0,25,55,330,380,0,0,2015-10-12,2020-07-01,4.83,4.92,4.78,4.93,4.85,4.96,4.85,5.06,Rome,0
34574,9827,70337115,2016-05-04,"Syracuse, Sicily, Italy",within an hour,100%,0%,f,10.0,"['email', 'phone', 'reviews']",t,f,10,0,10,0,1,1.0,1.0,30.0,1.0,30,30.0,30.0,t,0,0,22,241,7,0,0,2017-08-01,2018-08-26,4.29,4.71,4.86,4.0,4.14,5.0,4.71,0.13,Sicily,0
106639,15027,203674658,2018-07-20,"Rome, Lazio, Italy",within an hour,100%,100%,t,4.0,"['email', 'phone', 'offline_government_id', 'government_id', 'work_email']",t,t,4,2,2,0,1,1.0,1.0,90.0,1.0,90,90.0,90.0,t,18,27,57,323,44,19,3,2019-04-25,2021-12-05,4.86,4.89,4.95,5.0,4.98,4.93,4.77,1.38,Rome,0
19468,7237,161892173,2017-12-08,"Sedriano, Lombardy, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,0,0,0,0,4,0,0,2018-04-15,2018-05-30,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.09,Milan,0
4382,2856,368700723,2020-09-22,"Bologna, Emilia-Romagna, Italy",within an hour,100%,91%,f,2.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,2,1,1,0,2,2.0,2.0,60.0,2.0,60,60.0,60.0,t,27,43,43,43,10,4,0,2020-10-04,2021-01-28,4.7,4.7,5.0,5.0,5.0,4.6,5.0,0.68,Bologna,0
77762,24135,352331425,2020-06-28,"Pezze di Greco, Apulia, Italy",within an hour,100%,100%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,7,1125.0,1125.0,t,28,58,88,356,31,8,0,2020-07-09,2021-09-02,4.94,4.97,4.97,4.94,4.84,4.68,4.77,1.72,Puglia,0
44498,22082,86561768,2016-07-28,IT,within an hour,100%,100%,f,3.0,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,2,2,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,29,59,89,179,15,2,0,2018-07-30,2021-10-11,4.93,5.0,5.0,5.0,5.0,4.93,4.87,0.36,Sicily,0
102302,10028,38693309,2015-07-16,"Rome, Lazio, Italy",within a day,70%,25%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,1,2,0,15,15.0,15.0,1125.0,15.0,1125,1125.0,1125.0,t,0,0,9,284,3,0,0,2017-08-06,2017-09-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,Rome,0
55049,37921,24328028,2014-11-30,"Catania, Sicily, Italy",within a few hours,100%,67%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,29,59,89,364,3,3,0,2021-07-31,2021-08-31,4.67,4.33,4.67,4.67,4.67,4.67,5.0,0.59,Sicily,0
84783,2916,214274476,2018-09-08,"Smarano, Trentino-South Tyrol, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'offline_government_id', 'government_id']",t,t,1,1,0,0,6,6.0,6.0,1125.0,6.0,1125,1125.0,1125.0,t,20,50,80,80,29,1,0,2018-09-20,2021-07-11,5.0,4.97,5.0,4.97,4.97,4.69,4.79,0.73,Trentino,0
2769,1020,142944795,2017-07-28,"Bologna, Emilia-Romagna, Italy",within an hour,100%,96%,t,2.0,"['email', 'phone', 'reviews']",t,f,1,0,1,0,3,2.0,3.0,1125.0,2.7,200,1125.0,1125.0,t,7,7,15,19,53,12,1,2017-09-24,2021-12-11,4.9,4.9,4.92,4.92,4.88,4.63,4.88,1.03,Bologna,0
25837,16006,253844444,2019-04-07,IT,within a day,100%,100%,f,0.0,"['email', 'phone']",t,f,2,2,0,0,3,3.0,3.0,1125.0,3.0,365,1125.0,1125.0,t,4,4,19,19,1,1,0,2021-09-24,2021-09-24,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.36,Milan,0
69021,11509,118849323,2017-03-02,IT,within an hour,100%,86%,f,2.0,"['email', 'phone', 'reviews']",t,f,2,2,0,0,5,5.0,5.0,1125.0,5.0,1125,1125.0,1125.0,t,27,57,87,250,9,3,0,2019-07-18,2021-08-07,4.56,4.89,4.44,5.0,5.0,4.22,4.33,0.3,Puglia,0
55374,38420,366599689,2020-09-08,"Pachino, Sicily, Italy",within an hour,100%,100%,f,1.0,"['phone', 'jumio', 'offline_government_id', 'government_id']",t,t,3,2,1,0,1,1.0,1.0,1125.0,1.0,365,1125.0,1125.0,t,27,57,87,362,3,0,0,2020-09-17,2020-10-11,5.0,5.0,5.0,5.0,5.0,4.33,5.0,0.19,Sicily,0
84867,3011,176542526,2018-03-04,"Trento, Trentino-Alto Adige/South Tyrol, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone']",t,f,1,1,0,0,2,2.0,2.0,29.0,2.0,29,29.0,29.0,t,21,51,81,141,29,5,5,2019-05-31,2021-12-30,4.83,4.9,4.9,4.93,5.0,4.59,4.72,0.92,Trentino,0
58236,44052,64874649,2016-03-29,Italy,within an hour,100%,82%,f,9.0,"['email', 'phone', 'offline_government_id', 'government_id']",t,t,14,13,1,0,4,4.0,4.0,1125.0,4.0,28,1125.0,1125.0,t,22,52,82,172,1,1,0,2021-08-10,2021-08-10,3.0,4.0,5.0,4.0,5.0,5.0,2.0,0.21,Sicily,0
91656,4994,16312632,2014-06-03,"Roma, Lazio, Italy",within a day,100%,73%,f,5.0,"['email', 'phone', 'reviews', 'jumio']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,0,0,17,283,8,2,1,2019-07-21,2022-01-03,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.27,Venice,0
67728,9896,88541637,2016-08-07,Italy,within a few hours,100%,100%,t,1.0,"['email', 'phone', 'reviews', 'work_email']",t,f,1,1,0,0,2,2.0,2.0,1125.0,2.0,365,1125.0,1125.0,t,2,21,51,236,27,0,0,2017-07-25,2020-08-18,4.11,4.41,4.37,4.56,4.67,4.93,4.11,0.5,Puglia,0
49251,28717,8369573,2013-08-24,"Avola, Sicily, Italy",within a few hours,100%,100%,f,1.0,"['email', 'phone', 'offline_government_id', 'government_id']",t,t,1,1,0,0,5,4.0,6.0,30.0,5.1,30,1125.0,798.2,t,20,50,80,355,15,7,0,2019-06-30,2021-10-30,4.86,4.71,4.64,4.93,5.0,4.57,4.71,0.49,Sicily,0
80971,30192,406524963,2021-06-11,IT,within an hour,100%,100%,f,0.0,['phone'],t,t,1,1,0,0,1,1.0,1.0,365.0,1.0,365,365.0,365.0,t,14,14,14,226,1,1,0,2021-07-19,2021-07-19,4.0,5.0,4.0,5.0,5.0,5.0,3.0,0.18,Puglia,0
1885,106,9081398,2013-09-27,"Bologna, Emilia-Romagna, Italy",within an hour,92%,100%,t,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,2,2,0,0,3,3.0,3.0,1125.0,3.0,150,1125.0,1125.0,t,16,31,52,88,241,14,1,2013-10-17,2021-12-08,4.94,4.92,4.96,4.95,4.96,4.97,4.88,2.42,Bologna,0
85505,3769,270230010,2019-06-21,"Zürich, Zurich, Switzerland",within an hour,99%,100%,f,1417.0,"['email', 'phone']",t,f,9,9,0,0,1,1.0,13.0,7.0,3.2,28,28.0,26.0,t,30,60,90,349,5,3,0,2019-09-27,2021-09-03,4.5,3.75,4.25,4.75,3.5,4.5,4.0,0.18,Trentino,0
95750,2620,19864475,2014-08-11,"Rome, Lazio, Italy",within an hour,100%,0%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,2,1,1,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,78,0,0,2014-10-08,2019-08-21,4.87,4.97,4.82,4.97,4.92,4.83,4.87,0.89,Rome,0
14488,1381,21754562,2014-09-25,"Milan, Lombardy, Italy",within a few hours,100%,83%,f,117.0,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",t,t,103,103,0,0,3,3.0,3.0,1124.0,3.0,1124,1124.0,1124.0,t,0,0,0,111,1,0,0,2017-06-30,2017-06-30,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.02,Milan,0
77071,22956,27648775,2015-02-12,"Nardò, Apulia, Italy",within an hour,100%,88%,f,32.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,17,17,0,0,7,7.0,7.0,1125.0,7.0,1125,1125.0,1125.0,t,0,0,0,0,4,0,0,2020-06-27,2020-09-26,4.25,4.25,4.25,5.0,4.75,4.5,3.75,0.22,Puglia,0
8844,4316,124393416,2017-04-05,"Florence, Tuscany, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,0,1,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,1,71,157,8,0,2017-09-20,2021-09-20,4.93,4.99,4.97,4.97,4.96,4.73,4.92,3.04,Toscana,0
47937,26881,246857221,2019-03-04,"Gaggi, Sicily, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,2.0,1125.0,1.3,1125,1125.0,1125.0,t,29,59,89,364,1,1,0,2021-07-18,2021-07-18,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.18,Sicily,0
93078,6873,415046673,2021-07-25,IT,within a few hours,100%,100%,f,0.0,['phone'],t,t,1,1,0,0,3,3.0,3.0,365.0,3.0,365,365.0,365.0,t,30,60,90,365,2,2,0,2021-08-12,2021-11-01,4.0,4.0,4.0,5.0,5.0,5.0,4.0,0.41,Venice,0
51473,31864,51721283,2015-12-19,"Trapani, Sicilia, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,14,1125.0,1125.0,t,0,0,0,262,6,5,0,2019-08-21,2021-08-24,4.83,5.0,5.0,4.83,5.0,4.83,4.5,0.21,Sicily,0
53594,35502,270230010,2019-06-21,"Zürich, Zurich, Switzerland",within an hour,99%,100%,f,1417.0,"['email', 'phone']",t,f,71,71,0,0,1,1.0,8.0,2.0,2.0,28,28.0,26.9,t,30,60,90,365,1,1,0,2021-06-02,2021-06-02,4.0,3.0,5.0,3.0,3.0,3.0,3.0,0.14,Sicily,0
7354,2700,13920341,2014-04-05,"Florence, Tuscany, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'reviews']",t,f,1,0,1,0,1,1.0,1.0,5.0,1.0,5,5.0,5.0,t,11,41,58,58,186,0,0,2016-05-10,2019-10-28,4.58,4.77,4.79,4.83,4.83,4.82,4.57,2.72,Toscana,0
117240,5221,224188223,2018-11-04,"Luogosano, Campania, Italy",within an hour,100%,97%,f,4.0,"['email', 'phone']",t,f,6,2,4,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,22,52,82,357,3,3,0,2021-08-13,2021-08-29,4.67,4.67,4.67,4.33,4.33,3.67,4.0,0.72,Naples,0
61033,1730,18554838,2014-07-21,"Vieste, Puglia, Italy",within an hour,100%,83%,f,8.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,7,7,0,0,7,7.0,7.0,14.0,7.0,14,14.0,14.0,t,0,0,0,60,25,2,0,2015-07-06,2021-08-14,4.48,4.64,4.64,4.91,4.91,4.64,4.36,0.32,Puglia,0
21913,10378,17818352,2014-07-08,"Milan, Lombardy, Italy",within an hour,100%,55%,t,2.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,1,0,1,0,2,2.0,2.0,28.0,2.0,28,28.0,28.0,t,0,13,43,133,16,1,0,2019-04-15,2021-07-24,4.94,5.0,5.0,5.0,5.0,4.81,4.88,0.49,Milan,0
91639,4970,42288208,2015-08-23,"Treviso, Veneto, Italy",within an hour,100%,100%,f,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,0,0,0,65,4,0,0,2020-02-05,2020-02-27,4.0,4.5,4.25,5.0,4.0,5.0,4.75,0.17,Venice,0
103845,11819,20653285,2014-08-28,"England, Surrey",within a few hours,94%,100%,f,402.0,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,7,7,0,0,3,3.0,5.0,90.0,3.1,90,90.0,90.0,t,14,40,61,284,1,1,0,2021-09-05,2021-09-05,4.0,5.0,5.0,4.0,4.0,5.0,5.0,0.31,Rome,0
32458,7267,42124149,2015-08-21,IT,within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,2,2.0,2.0,30.0,2.0,30,30.0,30.0,t,25,55,85,347,32,2,0,2015-09-02,2021-09-07,4.71,4.9,4.87,4.94,5.0,4.87,4.74,0.42,Sicily,0
101495,9108,120545535,2017-03-13,IT,within a day,67%,100%,f,1.0,"['email', 'phone']",t,f,1,0,1,0,1,1.0,1.0,15.0,1.0,15,15.0,15.0,t,25,55,85,360,6,0,0,2018-04-30,2019-12-22,4.4,4.0,4.6,4.4,4.0,4.2,4.6,0.14,Rome,0
34520,9761,67856540,2016-04-19,"Palermo, Sicilia, Italy",within an hour,100%,0%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,4,4.0,4.0,1125.0,4.0,1125,1125.0,1125.0,t,30,60,90,365,13,0,0,2016-09-07,2020-08-14,4.92,5.0,5.0,5.0,4.92,4.92,4.85,0.2,Sicily,0
105470,13689,217612692,2018-09-27,IT,within an hour,100%,100%,f,1.0,['phone'],t,f,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,4,0,0,2018-10-11,2019-01-01,4.75,5.0,5.0,5.0,5.0,4.5,5.0,0.1,Rome,0
113512,618,40515625,2015-08-04,"Naples, Campania, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,29,1125.0,1125.0,t,4,34,64,154,231,0,0,2015-08-18,2020-02-09,4.87,4.93,4.8,4.98,4.98,4.84,4.85,3.0,Naples,0
